subject,verb,object,sent_id
She,put,it,4
Della,count,it,5
Della,do,it,9
e,pay,30,16
Young,put,arms,20
You,meet,her,21
Della,finish,crying,23
Everything,cost,more,28
She,have,hours,32
person,see,little,38
Della,master,art,40
she,pull,hair,43
Jim,know,that,52
i,have,anything,54
It,make,itself,57
she,put,it,58
She,put,coat,60
She,put,hat,61
She,find,it,73
It,make,for,74
Jim,have,value,83
She,pay,dollars,84
it,have,chain,88
He,take,it,89
mind,quiet,little,90
Love,leave,marks,93
Della,hold,chain,103
she,hear,step,104
She,say,prayers,105
He,need,coat,110
It,fill,her,114
It,’,Christmas,125
I,’m,me,133
I,’m,same,134
I,tell,you,139
Jim,put,arms,143
Someone,give,you,146
magi,bring,gifts,147
Jim,take,something,149
He,throw,it,150
she,hold,them,161
Jim,see,gift,164
She,hold,it,165
I,sell,watch,175
I,tell,you,180
Each,sell,thing,181
